Type,Data,Confidence,Notes
URL,hxxps://usmuvr2y8u[.]opawalerch[.]shop/?email=,HIGH,Original indicator from the incident response case. 
Domain,1y4vvc[.]designedbydrake[.]com,HIGH,Original indicator from the incident response case. 
Domain,rmlsjufbad[.]bolaa[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,tuqqme1qyd[.]online-folder[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,cghlaggzy8[.]airjordanrg[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,rv92jdk6xn[.]online-folder[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,ikklv5russ[.]folders[.]tech,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,sqmjnz0s6u[.]inovecapa[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,42uucgibld[.]saddlerandco[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,vl0mw7ckvv[.]thelastpepe[.]net,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,ccsbc8jgpa[.]jessesexpress[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,dwz2sanhzn[.]passknowyourmeme[.]net,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,wz00acfwqo[.]piscreatub[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,hies1amtrl[.]thelastpepe[.]net,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,zolfvfqc2c[.]thelastpepe[.]net,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,0p9tobrxup[.]inizineko[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,9gkhaxrahi[.]around-broadcast[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,fmndr3wke2[.]lawmakerbars[.]net,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,bkbbhmnkec[.]dozashop[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,thvf5kfbnc[.]dentsplsyirona[.]com,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,i9qyfdow3d[.]thiticteph[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,vdfj9o9nwe[.]goofy-playground[.]shop,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,83t23tmt4j[.]jullusbaer[.]com,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
Domain,wp6v32ws17[.]rtprubikslot[.]store,HIGH,"Pivot on domain registration patterns (e.g., Registrar, NameServer, SSL cert.)"
