Tactic,Technique,ID,Procedure (Context)
Initial Access,Exploit Public-Facing Application,T1190,"Commvault Campaign: The threat actor exploited CVE-2025-3928, a zero-day vulnerability in Commvault Web Server, to gain unauthorized access to Commvault’s Azure environment, targeting a public-facing application to establish initial access."
Initial Access,Supply Chain Compromise,T1195,"Commvault Campaign: The threat actor abuses stolen API keys and credentials associated with privileged access management, cloud app providers, and cloud data management companies, allowing access to these companies’ downstream customer environments."
Initial Access,Valid Accounts: Cloud Accounts,T1078.004,"Commvault Campaign: Silk Typhoon leveraged leaked corporate passwords found on public repositories, such as GitHub, to successfully authenticate to corporate SaaS accounts, gaining initial access to cloud environments."
Lateral Movement,Exploitation of Remote Services,T1210,"General: The threat actor moves laterally from on-premises to cloud environments by targeting Entra Connect (formerly AADConnect) now servers, which synchronize on-premises Active Directory with Entra ID, to escalate privileges and gain access to both environments."
Lateral Movement,Use of Alternate Authentication Material,T1550,General: The threat actor dumps Active Directory credentials and steals passwords from key vaults to facilitate lateral movement from on-premises to cloud environments.
Lateral Movement,Compromise Application: Multi-Tenant Applications,T1199,"General: The threat actor compromises multi-tenant applications, enabling movement across tenants and access to additional resources for data exfiltration."
Privilege Escalation,Valid Accounts: Domain Accounts,T1078.002,"General: The threat actor escalates privileges by compromising Entra Connect servers, enabling access to both on-premises and cloud environments."
Credential Access,Steal Application Access Token,T1528,"Commvault Article: The threat actor accessed client secrets for Commvault’s Metallic M365 backup SaaS solution hosted in Azure, allowing unauthorized access to customers’ M365 environments via hijacked service principals."
Persistence,Create or Modify System Process: Service Principal,T1098.001,"General: The threat actor manipulates service principals by adding their own passwords to existing consented applications or creating new Entra ID applications, often named to blend into the environment using legitimate service or Office 365 themes, to maintain access and facilitate data theft."
Persistence,Account Manipulation: Additional Cloud Credentials,T1098.004,"Commvault Campaign: The threat actor potentially manipulated or used stolen client secrets to maintain access to M365 environments, leveraging compromised application credentials to persist in the cloud environment."
Persistence,Server Software Component: Web Shell,T1505.003,Commvault Campaign: The threat actor deployed web shells to gain unauthorized access to the cloud-hosted web server.
Defense Evasion,Masquerading: Match Legitimate Name or Location,T1036.005,General: The threat actor names created Entra ID applications to blend into the environment using legitimate services or Office 365 themes to evade detection. 
,,,"Commvault Campaign:The threat actor’s activities involved exploiting a vulnerability in a trusted SaaS application (Commvault’s Metallic), blending malicious actions with legitimate application functionality to evade detection."
Command and Control,Application Layer Protocol: Web Protocols,T1071.001,"Commvault Campaign: The exploitation of CVE-2025-3928 involved creating and executing web shells, indicating the use of web-based protocols (e.g., HTTP requests) for command and control within the compromised Azure environment."
Collection,Data from Information Repositories: SharePoint,T1213.002,General: The threat actor abuses service principals and OAuth applications with administrative permissions to exfiltrate data from SharePoint via the MSGraph API.
Collection,Email Collection: Remote Email Collection,T1114.002,General:The threat actor uses compromised applications with access to the Exchange Web Services (EWS) API or MSGraph API to steal email data.
Collection,Data from Cloud Storage: OneDrive,T1213.003,General: The threat actor leverages service principals and OAuth applications to exfiltrate data from OneDrive via the MSGraph API.
